"sales_person","country","product","sale_date","amount","boxes_shipped","amount_numeric","sale_date_actual"
"Van Tuxwell","New Zealand","85% Dark Bars","24/05/2022","$1,722.00",121,1722.0,"2022-05-24"
"Rafaelita Blaksland","UK","99% Dark & Pure","29/06/2022","$12,446.00",150,12446.0,"2022-06-29"
"Wilone O'Kielt","Australia","Manuka Honey Choco","11/05/2022","$4,284.00",94,4284.0,"2022-05-11"
"Karlen McCaffrey","UK","Almond Choco","30/06/2022","$6,839.00",133,6839.0,"2022-06-30"
"Andria Kimpton","Canada","After Nines","11/05/2022","$2,163.00",70,2163.0,"2022-05-11"
"Roddy Speechley","USA","Manuka Honey Choco","22/07/2022","$9,583.00",315,9583.0,"2022-07-22"
"Andria Kimpton","UK","50% Dark Bites","24/08/2022","$2,653.00",314,2653.0,"2022-08-24"
"Kelci Walkden","New Zealand","After Nines","07/07/2022","$147.00",72,147.0,"2022-07-07"
"Camilla Castle","Australia","85% Dark Bars","19/05/2022","$3,654.00",14,3654.0,"2022-05-19"
"Karlen McCaffrey","India","Manuka Honey Choco","04/07/2022","$2,443.00",581,2443.0,"2022-07-04"
"Kelci Walkden","USA","After Nines","02/06/2022","$938.00",16,938.0,"2022-06-02"
"Karlen McCaffrey","USA","Raspberry Choco","15/04/2022","$14,749.00",354,14749.0,"2022-04-15"
"Mallorie Waber","Canada","Choco Coated Almonds","11/07/2022","$4,781.00",241,4781.0,"2022-07-11"
"Andria Kimpton","India","Spicy Special Slims","23/02/2022","$6,307.00",142,6307.0,"2022-02-23"
"Madelene Upcott","Canada","Almond Choco","22/08/2022","$7,602.00",102,7602.0,"2022-08-22"
"Kaine Padly","USA","Peanut Butter Cubes","16/02/2022","$6,790.00",188,6790.0,"2022-02-16"
"Van Tuxwell","USA","50% Dark Bites","13/01/2022","$9,737.00",160,9737.0,"2022-01-13"
"Curtice Advani","Australia","Milk Bars","14/02/2022","$6,979.00",18,6979.0,"2022-02-14"
"Roddy Speechley","India","Eclairs","10/06/2022","$4,382.00",303,4382.0,"2022-06-10"
"Curtice Advani","India","Fruit & Nut Bars","07/07/2022","$5,243.00",176,5243.0,"2022-07-07"
"Curtice Advani","Canada","Almond Choco","24/03/2022","$4,865.00",70,4865.0,"2022-03-24"
"Brien Boise","Australia","Fruit & Nut Bars","06/06/2022","$8,575.00",23,8575.0,"2022-06-06"
"Dotty Strutley","Australia","Drinking Coco","19/07/2022","$91.00",135,91.0,"2022-07-19"
"Beverie Moffet","USA","Raspberry Choco","19/04/2022","$14,798.00",83,14798.0,"2022-04-19"
"Marney O'Breen","India","85% Dark Bars","19/07/2022","$2,205.00",179,2205.0,"2022-07-19"
"Jehu Rudeforth","Canada","Drinking Coco","15/07/2022","$441.00",24,441.0,"2022-07-15"
"Ches Bonnell","New Zealand","Spicy Special Slims","14/02/2022","$3,556.00",18,3556.0,"2022-02-14"
"Brien Boise","Canada","99% Dark & Pure","18/05/2022","$16,793.00",416,16793.0,"2022-05-18"
"Barr Faughny","Australia","Fruit & Nut Bars","30/06/2022","$15,421.00",55,15421.0,"2022-06-30"
"Andria Kimpton","Australia","50% Dark Bites","02/06/2022","$4,438.00",227,4438.0,"2022-06-02"
"Andria Kimpton","Australia","Drinking Coco","28/06/2022","$1,603.00",48,1603.0,"2022-06-28"
"Marney O'Breen","Australia","Organic Choco Syrup","16/05/2022","$273.00",174,273.0,"2022-05-16"
"Kelci Walkden","Canada","Baker's Choco Chips","26/05/2022","$3,073.00",302,3073.0,"2022-05-26"
"Karlen McCaffrey","India","Almond Choco","06/07/2022","$6,090.00",149,6090.0,"2022-07-06"
"Oby Sorrel","India","99% Dark & Pure","27/05/2022","$10,255.00",11,10255.0,"2022-05-27"
"Wilone O'Kielt","Australia","Caramel Stuffed Bars","14/04/2022","$2,030.00",11,2030.0,"2022-04-14"
"Van Tuxwell","Australia","Organic Choco Syrup","10/08/2022","$19,453.00",14,19453.0,"2022-08-10"
"Camilla Castle","India","50% Dark Bites","04/07/2022","$9,275.00",411,9275.0,"2022-07-04"
"Oby Sorrel","India","Organic Choco Syrup","08/07/2022","$6,181.00",56,6181.0,"2022-07-08"
"Jan Morforth","USA","Peanut Butter Cubes","22/07/2022","$9,037.00",102,9037.0,"2022-07-22"
"Gigi Bohling","USA","Choco Coated Almonds","02/03/2022","$12,313.00",103,12313.0,"2022-03-02"
"Gigi Bohling","UK","Almond Choco","10/01/2022","$5,642.00",9,5642.0,"2022-01-10"
"Jehu Rudeforth","New Zealand","White Choc","11/03/2022","$2,800.00",241,2800.0,"2022-03-11"
"Andria Kimpton","New Zealand","Peanut Butter Cubes","20/06/2022","$959.00",265,959.0,"2022-06-20"
"Van Tuxwell","UK","Organic Choco Syrup","26/08/2022","$2,002.00",214,2002.0,"2022-08-26"
"Roddy Speechley","Canada","Milk Bars","13/07/2022","$609.00",32,609.0,"2022-07-13"
"Camilla Castle","USA","Spicy Special Slims","11/02/2022","$1,274.00",244,1274.0,"2022-02-11"
"Marney O'Breen","USA","Orange Choco","27/01/2022","$7,595.00",181,7595.0,"2022-01-27"
"Van Tuxwell","UK","99% Dark & Pure","31/01/2022","$4,725.00",137,4725.0,"2022-01-31"
"Camilla Castle","USA","White Choc","18/08/2022","$9,681.00",24,9681.0,"2022-08-18"
"Andria Kimpton","USA","Raspberry Choco","30/06/2022","$14,504.00",21,14504.0,"2022-06-30"
"Dotty Strutley","Australia","Fruit & Nut Bars","23/08/2022","$280.00",311,280.0,"2022-08-23"
"Brien Boise","New Zealand","Mint Chip Choco","01/08/2022","$63.00",181,63.0,"2022-08-01"
"Roddy Speechley","New Zealand","After Nines","25/05/2022","$8,001.00",10,8001.0,"2022-05-25"
"Roddy Speechley","Canada","Organic Choco Syrup","10/01/2022","$4,032.00",82,4032.0,"2022-01-10"
"Dennison Crosswaite","Australia","70% Dark Bites","07/02/2022","$5,859.00",108,5859.0,"2022-02-07"
"Karlen McCaffrey","USA","Orange Choco","12/05/2022","$11,095.00",401,11095.0,"2022-05-12"
"Madelene Upcott","Australia","Spicy Special Slims","07/03/2022","$7,182.00",408,7182.0,"2022-03-07"
"Dennison Crosswaite","Australia","85% Dark Bars","05/04/2022","$6,881.00",420,6881.0,"2022-04-05"
"Andria Kimpton","Canada","Caramel Stuffed Bars","03/01/2022","$7,154.00",348,7154.0,"2022-01-03"
"Dennison Crosswaite","UK","Eclairs","24/03/2022","$6,188.00",270,6188.0,"2022-03-24"
"Madelene Upcott","India","Raspberry Choco","07/07/2022","$4,221.00",9,4221.0,"2022-07-07"
"Van Tuxwell","USA","After Nines","26/07/2022","$630.00",264,630.0,"2022-07-26"
"Wilone O'Kielt","Australia","Organic Choco Syrup","07/07/2022","$1,743.00",111,1743.0,"2022-07-07"
"Karlen McCaffrey","Canada","50% Dark Bites","15/07/2022","$2,919.00",65,2919.0,"2022-07-15"
"Roddy Speechley","New Zealand","Orange Choco","01/04/2022","$49.00",97,49.0,"2022-04-01"
"Beverie Moffet","Australia","Eclairs","20/06/2022","$1,827.00",6,1827.0,"2022-06-20"
"Kelci Walkden","UK","Fruit & Nut Bars","29/06/2022","$13,006.00",482,13006.0,"2022-06-29"
"Marney O'Breen","USA","50% Dark Bites","15/06/2022","$1,064.00",106,1064.0,"2022-06-15"
"Husein Augar","USA","After Nines","08/04/2022","$11,571.00",180,11571.0,"2022-04-08"
"Dennison Crosswaite","Australia","Raspberry Choco","14/03/2022","$5,740.00",31,5740.0,"2022-03-14"
"Andria Kimpton","USA","Fruit & Nut Bars","15/07/2022","$1,456.00",359,1456.0,"2022-07-15"
"Kelci Walkden","India","Eclairs","19/04/2022","$5,334.00",80,5334.0,"2022-04-19"
"Marney O'Breen","USA","99% Dark & Pure","28/03/2022","$4,151.00",296,4151.0,"2022-03-28"
"Brien Boise","Canada","Spicy Special Slims","04/03/2022","$8,106.00",101,8106.0,"2022-03-04"
"Karlen McCaffrey","New Zealand","70% Dark Bites","02/08/2022","$126.00",40,126.0,"2022-08-02"
"Husein Augar","UK","Spicy Special Slims","25/08/2022","$4,697.00",42,4697.0,"2022-08-25"
"Marney O'Breen","USA","Almond Choco","25/02/2022","$7,798.00",167,7798.0,"2022-02-25"
"Kelci Walkden","India","Orange Choco","07/06/2022","$9,408.00",138,9408.0,"2022-06-07"
"Jan Morforth","India","Spicy Special Slims","12/04/2022","$1,939.00",520,1939.0,"2022-04-12"
"Ches Bonnell","India","Spicy Special Slims","06/07/2022","$10,906.00",94,10906.0,"2022-07-06"
"Kelci Walkden","UK","Smooth Sliky Salty","19/01/2022","$5,929.00",175,5929.0,"2022-01-19"
"Madelene Upcott","Australia","Fruit & Nut Bars","05/01/2022","$5,579.00",92,5579.0,"2022-01-05"
"Madelene Upcott","Canada","70% Dark Bites","24/01/2022","$10,927.00",141,10927.0,"2022-01-24"
"Wilone O'Kielt","Australia","Drinking Coco","06/04/2022","$623.00",283,623.0,"2022-04-06"
"Gunar Cockshoot","Australia","Fruit & Nut Bars","15/06/2022","$6,013.00",21,6013.0,"2022-06-15"
"Gigi Bohling","Canada","Baker's Choco Chips","28/01/2022","$1,505.00",47,1505.0,"2022-01-28"
"Kelci Walkden","India","Caramel Stuffed Bars","16/03/2022","$476.00",125,476.0,"2022-03-16"
"Rafaelita Blaksland","Australia","Drinking Coco","21/02/2022","$11,550.00",396,11550.0,"2022-02-21"
"Kelci Walkden","USA","Manuka Honey Choco","16/02/2022","$17,318.00",87,17318.0,"2022-02-16"
"Jehu Rudeforth","Canada","Spicy Special Slims","13/01/2022","$1,848.00",27,1848.0,"2022-01-13"
"Kelci Walkden","Australia","Eclairs","23/03/2022","$7,273.00",547,7273.0,"2022-03-23"
"Curtice Advani","Canada","Spicy Special Slims","16/06/2022","$854.00",118,854.0,"2022-06-16"
"Oby Sorrel","India","Raspberry Choco","14/04/2022","$6,832.00",46,6832.0,"2022-04-14"
"Kelci Walkden","UK","Eclairs","25/01/2022","$4,606.00",57,4606.0,"2022-01-25"
"Jan Morforth","India","Almond Choco","11/03/2022","$4,466.00",22,4466.0,"2022-03-11"
"Dotty Strutley","UK","Almond Choco","28/07/2022","$16,114.00",96,16114.0,"2022-07-28"
"Marney O'Breen","New Zealand","After Nines","09/03/2022","$1,561.00",44,1561.0,"2022-03-09"
"Husein Augar","Australia","Orange Choco","28/06/2022","$8,897.00",188,8897.0,"2022-06-28"
"Marney O'Breen","Australia","Milk Bars","28/07/2022","$2,464.00",387,2464.0,"2022-07-28"
"Kelci Walkden","Canada","99% Dark & Pure","15/08/2022","$4,830.00",50,4830.0,"2022-08-15"
"Kaine Padly","Australia","Manuka Honey Choco","12/01/2022","$2,765.00",264,2765.0,"2022-01-12"
"Beverie Moffet","New Zealand","White Choc","24/03/2022","$7,126.00",7,7126.0,"2022-03-24"
"Van Tuxwell","UK","Milk Bars","25/07/2022","$4,263.00",90,4263.0,"2022-07-25"
"Oby Sorrel","Canada","99% Dark & Pure","01/08/2022","$3,605.00",403,3605.0,"2022-08-01"
"Van Tuxwell","India","Organic Choco Syrup","16/05/2022","$19,929.00",174,19929.0,"2022-05-16"
"Roddy Speechley","India","Smooth Sliky Salty","10/08/2022","$5,103.00",140,5103.0,"2022-08-10"
"Jan Morforth","India","Eclairs","05/01/2022","$2,541.00",27,2541.0,"2022-01-05"
"Ches Bonnell","UK","Smooth Sliky Salty","11/07/2022","$5,663.00",110,5663.0,"2022-07-11"
"Wilone O'Kielt","USA","After Nines","25/04/2022","$392.00",30,392.0,"2022-04-25"
"Gigi Bohling","New Zealand","Fruit & Nut Bars","04/04/2022","$10,976.00",121,10976.0,"2022-04-04"
"Barr Faughny","USA","Raspberry Choco","12/04/2022","$9,282.00",101,9282.0,"2022-04-12"
"Wilone O'Kielt","New Zealand","85% Dark Bars","02/08/2022","$1,827.00",117,1827.0,"2022-08-02"
"Gigi Bohling","New Zealand","Manuka Honey Choco","28/06/2022","$8,267.00",272,8267.0,"2022-06-28"
"Ches Bonnell","Australia","Eclairs","05/07/2022","$4,116.00",128,4116.0,"2022-07-05"
"Rafaelita Blaksland","New Zealand","Choco Coated Almonds","07/06/2022","$2,093.00",45,2093.0,"2022-06-07"
"Brien Boise","New Zealand","Smooth Sliky Salty","18/01/2022","$1,015.00",27,1015.0,"2022-01-18"
"Brien Boise","Australia","Baker's Choco Chips","04/01/2022","$12,516.00",212,12516.0,"2022-01-04"
"Dennison Crosswaite","Australia","99% Dark & Pure","31/01/2022","$2,758.00",18,2758.0,"2022-01-31"
"Kelci Walkden","India","Almond Choco","14/03/2022","$3,297.00",149,3297.0,"2022-03-14"
"Camilla Castle","Australia","70% Dark Bites","29/04/2022","$6,048.00",477,6048.0,"2022-04-29"
"Oby Sorrel","India","Smooth Sliky Salty","07/02/2022","$10,101.00",108,10101.0,"2022-02-07"
"Kaine Padly","UK","Organic Choco Syrup","31/03/2022","$2,282.00",178,2282.0,"2022-03-31"
"Marney O'Breen","India","Caramel Stuffed Bars","16/03/2022","$4,361.00",81,4361.0,"2022-03-16"
"Karlen McCaffrey","UK","Eclairs","25/01/2022","$7,798.00",196,7798.0,"2022-01-25"
"Van Tuxwell","India","Baker's Choco Chips","20/06/2022","$3,052.00",447,3052.0,"2022-06-20"
"Gigi Bohling","UK","After Nines","29/03/2022","$8,029.00",175,8029.0,"2022-03-29"
"Curtice Advani","Australia","Orange Choco","12/07/2022","$854.00",136,854.0,"2022-07-12"
"Jehu Rudeforth","Canada","Smooth Sliky Salty","11/07/2022","$5,460.00",138,5460.0,"2022-07-11"
"Karlen McCaffrey","Canada","Smooth Sliky Salty","19/01/2022","$3,017.00",184,3017.0,"2022-01-19"
"Andria Kimpton","USA","85% Dark Bars","05/04/2022","$8,911.00",82,8911.0,"2022-04-05"
"Jehu Rudeforth","Canada","Milk Bars","21/02/2022","$7,203.00",12,7203.0,"2022-02-21"
"Rafaelita Blaksland","New Zealand","Caramel Stuffed Bars","20/05/2022","$13,083.00",14,13083.0,"2022-05-20"
"Mallorie Waber","Australia","Milk Bars","29/07/2022","$2,779.00",104,2779.0,"2022-07-29"
"Barr Faughny","USA","Fruit & Nut Bars","28/01/2022","$9,058.00",46,9058.0,"2022-01-28"
"Marney O'Breen","UK","Caramel Stuffed Bars","19/07/2022","$3,549.00",112,3549.0,"2022-07-19"
"Mallorie Waber","New Zealand","Manuka Honey Choco","13/04/2022","$9,436.00",11,9436.0,"2022-04-13"
"Roddy Speechley","India","Peanut Butter Cubes","11/02/2022","$10,283.00",21,10283.0,"2022-02-11"
"Roddy Speechley","New Zealand","Milk Bars","02/03/2022","$5,446.00",116,5446.0,"2022-03-02"
"Ches Bonnell","Australia","White Choc","02/03/2022","$1,043.00",202,1043.0,"2022-03-02"
"Van Tuxwell","USA","99% Dark & Pure","28/07/2022","$12,586.00",6,12586.0,"2022-07-28"
"Kelci Walkden","India","After Nines","07/01/2022","$1,687.00",520,1687.0,"2022-01-07"
"Van Tuxwell","Canada","Almond Choco","27/06/2022","$3,213.00",72,3213.0,"2022-06-27"
"Jehu Rudeforth","Australia","50% Dark Bites","14/01/2022","$5,194.00",418,5194.0,"2022-01-14"
"Karlen McCaffrey","UK","Baker's Choco Chips","07/02/2022","$4,753.00",389,4753.0,"2022-02-07"
"Jehu Rudeforth","Australia","Orange Choco","23/03/2022","$13,706.00",26,13706.0,"2022-03-23"
"Marney O'Breen","India","Peanut Butter Cubes","10/01/2022","$6,489.00",146,6489.0,"2022-01-10"
"Oby Sorrel","UK","Choco Coated Almonds","17/03/2022","$9,324.00",41,9324.0,"2022-03-17"
"Gigi Bohling","USA","Spicy Special Slims","21/01/2022","$10,829.00",54,10829.0,"2022-01-21"
"Barr Faughny","Australia","White Choc","04/07/2022","$8,113.00",370,8113.0,"2022-07-04"
"Kaine Padly","Canada","Peanut Butter Cubes","04/07/2022","$3,269.00",176,3269.0,"2022-07-04"
"Dotty Strutley","USA","Manuka Honey Choco","10/08/2022","$273.00",210,273.0,"2022-08-10"
"Dennison Crosswaite","Australia","50% Dark Bites","01/04/2022","$7,287.00",12,7287.0,"2022-04-01"
"Gigi Bohling","India","Raspberry Choco","22/02/2022","$2,583.00",159,2583.0,"2022-02-22"
"Camilla Castle","UK","White Choc","03/01/2022","$9,982.00",187,9982.0,"2022-01-03"
"Karlen McCaffrey","India","Drinking Coco","31/05/2022","$4,795.00",233,4795.0,"2022-05-31"
"Dotty Strutley","UK","99% Dark & Pure","03/01/2022","$9,310.00",282,9310.0,"2022-01-03"
"Husein Augar","New Zealand","Caramel Stuffed Bars","27/01/2022","$497.00",475,497.0,"2022-01-27"
"Barr Faughny","UK","50% Dark Bites","28/01/2022","$581.00",65,581.0,"2022-01-28"
"Curtice Advani","Australia","Organic Choco Syrup","28/06/2022","$3,472.00",311,3472.0,"2022-06-28"
"Husein Augar","UK","Choco Coated Almonds","02/03/2022","$4,333.00",43,4333.0,"2022-03-02"
"Wilone O'Kielt","Australia","After Nines","27/05/2022","$3,325.00",26,3325.0,"2022-05-27"
"Dennison Crosswaite","USA","Almond Choco","30/06/2022","$11,718.00",84,11718.0,"2022-06-30"
"Barr Faughny","Canada","Peanut Butter Cubes","07/06/2022","$2,100.00",78,2100.0,"2022-06-07"
"Kaine Padly","USA","70% Dark Bites","12/05/2022","$4,018.00",100,4018.0,"2022-05-12"
"Barr Faughny","New Zealand","Raspberry Choco","29/07/2022","$6,468.00",66,6468.0,"2022-07-29"
"Dennison Crosswaite","UK","White Choc","03/08/2022","$7,238.00",265,7238.0,"2022-08-03"
"Barr Faughny","India","Baker's Choco Chips","18/08/2022","$6,454.00",141,6454.0,"2022-08-18"
"Van Tuxwell","New Zealand","Smooth Sliky Salty","14/06/2022","$3,115.00",42,3115.0,"2022-06-14"
"Beverie Moffet","UK","White Choc","30/06/2022","$6,475.00",76,6475.0,"2022-06-30"
"Camilla Castle","New Zealand","Mint Chip Choco","13/06/2022","$1,162.00",190,1162.0,"2022-06-13"
"Ches Bonnell","UK","Orange Choco","27/04/2022","$14,238.00",54,14238.0,"2022-04-27"
"Jan Morforth","Australia","White Choc","27/07/2022","$3,472.00",32,3472.0,"2022-07-27"
"Mallorie Waber","Canada","85% Dark Bars","20/04/2022","$1,428.00",424,1428.0,"2022-04-20"
"Rafaelita Blaksland","India","Spicy Special Slims","04/01/2022","$8,064.00",134,8064.0,"2022-01-04"
"Ches Bonnell","Australia","Mint Chip Choco","21/02/2022","$9,660.00",92,9660.0,"2022-02-21"
"Karlen McCaffrey","Australia","White Choc","05/01/2022","$7,357.00",48,7357.0,"2022-01-05"
"Beverie Moffet","India","Drinking Coco","15/07/2022","$6,055.00",46,6055.0,"2022-07-15"
"Brien Boise","Australia","Choco Coated Almonds","25/05/2022","$5,124.00",62,5124.0,"2022-05-25"
"Karlen McCaffrey","Canada","Eclairs","20/04/2022","$3,479.00",358,3479.0,"2022-04-20"
"Gigi Bohling","USA","99% Dark & Pure","02/06/2022","$784.00",249,784.0,"2022-06-02"
"Marney O'Breen","UK","Smooth Sliky Salty","13/05/2022","$18,991.00",88,18991.0,"2022-05-13"
"Beverie Moffet","New Zealand","Baker's Choco Chips","03/08/2022","$1,372.00",144,1372.0,"2022-08-03"
"Beverie Moffet","Australia","Milk Bars","25/05/2022","$735.00",390,735.0,"2022-05-25"
"Van Tuxwell","UK","Raspberry Choco","16/03/2022","$6,538.00",79,6538.0,"2022-03-16"
"Jan Morforth","Australia","Orange Choco","04/07/2022","$3,199.00",122,3199.0,"2022-07-04"
"Jehu Rudeforth","India","50% Dark Bites","05/07/2022","$3,472.00",135,3472.0,"2022-07-05"
"Madelene Upcott","USA","After Nines","15/03/2022","$4,571.00",430,4571.0,"2022-03-15"
"Barr Faughny","UK","Raspberry Choco","22/08/2022","$5,481.00",69,5481.0,"2022-08-22"
"Ches Bonnell","Australia","70% Dark Bites","12/01/2022","$3,136.00",125,3136.0,"2022-01-12"
"Marney O'Breen","UK","Baker's Choco Chips","10/06/2022","$252.00",154,252.0,"2022-06-10"
"Kaine Padly","Australia","Peanut Butter Cubes","25/03/2022","$5,460.00",286,5460.0,"2022-03-25"
"Rafaelita Blaksland","India","Almond Choco","27/07/2022","$3,395.00",99,3395.0,"2022-07-27"
"Husein Augar","UK","Caramel Stuffed Bars","15/04/2022","$14,938.00",433,14938.0,"2022-04-15"
"Roddy Speechley","India","Orange Choco","27/06/2022","$4,053.00",19,4053.0,"2022-06-27"
"Jehu Rudeforth","UK","70% Dark Bites","14/04/2022","$5,565.00",258,5565.0,"2022-04-14"
"Husein Augar","Australia","Manuka Honey Choco","15/03/2022","$7,161.00",92,7161.0,"2022-03-15"
"Madelene Upcott","USA","Eclairs","18/03/2022","$8,883.00",200,8883.0,"2022-03-18"
"Brien Boise","India","Eclairs","29/04/2022","$1,351.00",61,1351.0,"2022-04-29"
"Mallorie Waber","New Zealand","White Choc","25/02/2022","$3,171.00",246,3171.0,"2022-02-25"
"Husein Augar","USA","Milk Bars","02/03/2022","$854.00",56,854.0,"2022-03-02"
"Van Tuxwell","Australia","Milk Bars","20/06/2022","$7,910.00",87,7910.0,"2022-06-20"
"Beverie Moffet","Canada","White Choc","15/07/2022","$9,275.00",173,9275.0,"2022-07-15"
"Dotty Strutley","Australia","50% Dark Bites","12/05/2022","$3,108.00",252,3108.0,"2022-05-12"
"Mallorie Waber","New Zealand","Organic Choco Syrup","01/07/2022","$5,075.00",256,5075.0,"2022-07-01"
"Husein Augar","USA","85% Dark Bars","08/08/2022","$378.00",54,378.0,"2022-08-08"
"Madelene Upcott","Australia","50% Dark Bites","25/07/2022","$7,350.00",6,7350.0,"2022-07-25"
"Wilone O'Kielt","UK","Drinking Coco","18/05/2022","$3,388.00",55,3388.0,"2022-05-18"
"Camilla Castle","India","Peanut Butter Cubes","15/07/2022","$11,837.00",277,11837.0,"2022-07-15"
"Curtice Advani","India","70% Dark Bites","05/07/2022","$2,282.00",44,2282.0,"2022-07-05"
"Mallorie Waber","USA","Manuka Honey Choco","04/07/2022","$5,425.00",96,5425.0,"2022-07-04"
"Dotty Strutley","UK","70% Dark Bites","20/06/2022","$1,267.00",216,1267.0,"2022-06-20"
"Gunar Cockshoot","Australia","Almond Choco","25/01/2022","$3,752.00",424,3752.0,"2022-01-25"
"Kaine Padly","New Zealand","Spicy Special Slims","01/07/2022","$7,728.00",37,7728.0,"2022-07-01"
"Gigi Bohling","USA","50% Dark Bites","13/04/2022","$2,296.00",59,2296.0,"2022-04-13"
"Beverie Moffet","UK","Smooth Sliky Salty","04/05/2022","$4,403.00",76,4403.0,"2022-05-04"
"Beverie Moffet","Australia","Baker's Choco Chips","04/08/2022","$3,192.00",109,3192.0,"2022-08-04"
"Beverie Moffet","India","70% Dark Bites","01/06/2022","$448.00",146,448.0,"2022-06-01"
"Jehu Rudeforth","UK","Choco Coated Almonds","22/04/2022","$4,270.00",185,4270.0,"2022-04-22"
"Kaine Padly","USA","50% Dark Bites","03/08/2022","$70.00",27,70.0,"2022-08-03"
"Ches Bonnell","USA","Orange Choco","10/06/2022","$1,743.00",69,1743.0,"2022-06-10"
"Gunar Cockshoot","UK","Manuka Honey Choco","27/06/2022","$6,762.00",46,6762.0,"2022-06-27"
"Marney O'Breen","Australia","Smooth Sliky Salty","03/01/2022","$3,745.00",170,3745.0,"2022-01-03"
"Marney O'Breen","India","After Nines","11/07/2022","$2,639.00",179,2639.0,"2022-07-11"
"Ches Bonnell","New Zealand","Milk Bars","17/08/2022","$4,389.00",126,4389.0,"2022-08-17"
"Rafaelita Blaksland","USA","Fruit & Nut Bars","18/01/2022","$2,604.00",65,2604.0,"2022-01-18"
"Ches Bonnell","India","Organic Choco Syrup","08/03/2022","$16,569.00",99,16569.0,"2022-03-08"
"Mallorie Waber","Australia","Orange Choco","07/03/2022","$14,658.00",275,14658.0,"2022-03-07"
"Husein Augar","India","70% Dark Bites","09/05/2022","$6,454.00",157,6454.0,"2022-05-09"
"Barr Faughny","New Zealand","85% Dark Bars","23/05/2022","$2,100.00",157,2100.0,"2022-05-23"
"Madelene Upcott","UK","Caramel Stuffed Bars","15/04/2022","$161.00",145,161.0,"2022-04-15"
"Gigi Bohling","Australia","Drinking Coco","27/07/2022","$2,807.00",139,2807.0,"2022-07-27"
"Marney O'Breen","Canada","Choco Coated Almonds","22/08/2022","$2,639.00",406,2639.0,"2022-08-22"
"Ches Bonnell","USA","70% Dark Bites","11/05/2022","$4,571.00",122,4571.0,"2022-05-11"
"Madelene Upcott","India","Organic Choco Syrup","26/01/2022","$4,781.00",38,4781.0,"2022-01-26"
"Barr Faughny","USA","50% Dark Bites","14/04/2022","$13,034.00",117,13034.0,"2022-04-14"
"Dennison Crosswaite","New Zealand","Mint Chip Choco","05/04/2022","$6,454.00",417,6454.0,"2022-04-05"
"Marney O'Breen","New Zealand","Smooth Sliky Salty","14/06/2022","$8,484.00",57,8484.0,"2022-06-14"
"Brien Boise","Canada","Almond Choco","13/04/2022","$4,781.00",125,4781.0,"2022-04-13"
"Beverie Moffet","Australia","White Choc","27/06/2022","$2,240.00",166,2240.0,"2022-06-27"
"Dotty Strutley","Australia","Eclairs","26/01/2022","$6,979.00",3,6979.0,"2022-01-26"
"Barr Faughny","UK","White Choc","05/07/2022","$1,652.00",72,1652.0,"2022-07-05"
"Beverie Moffet","Canada","Baker's Choco Chips","11/01/2022","$13,447.00",95,13447.0,"2022-01-11"
